Variables,Site,Zone,Tide,mean_vals
NN,BP,Ambient,High,0.35333333333333333
NN,BP,Ambient,Low,0.581
NN,BP,Diffuse,High,0.8805000000000001
NN,BP,Diffuse,Low,3.9977142857142858
NN,BP,Transition,High,1.2930000000000001
NN,BP,Transition,Low,10.4625
NN,W,Ambient,High,0.17258064516129032
NN,W,Ambient,Low,0.1525
NN,W,Diffuse,High,0.2284375
NN,W,Diffuse,Low,1.0353125
NN,W,Offshore,High,0.0925
NN,W,Offshore,Low,0.165
NN,W,Transition,High,0.39625
NN,W,Transition,Low,3.6975000000000002
pH,BP,Ambient,High,8.066515024944444
pH,BP,Ambient,Low,8.053244070149999
pH,BP,Diffuse,High,8.090873882625
pH,BP,Diffuse,Low,8.024683317742857
pH,BP,Transition,High,8.0884849642
pH,BP,Transition,Low,8.0139
pH,W,Ambient,High,8.041935483870967
pH,W,Ambient,Low,8.00315625
pH,W,Diffuse,High,8.019375
pH,W,Diffuse,Low,7.994125
pH,W,Offshore,High,8.00475
pH,W,Offshore,Low,7.954
pH,W,Transition,High,8.014625
pH,W,Transition,Low,8.0173125
Phosphate,BP,Ambient,High,0.14833333333333334
Phosphate,BP,Ambient,Low,0.1275
Phosphate,BP,Diffuse,High,0.15375
Phosphate,BP,Diffuse,Low,0.22857142857142856
Phosphate,BP,Transition,High,0.163
Phosphate,BP,Transition,Low,0.3955
Phosphate,W,Ambient,High,0.11
Phosphate,W,Ambient,Low,0.09875
Phosphate,W,Diffuse,High,0.1059375
Phosphate,W,Diffuse,Low,0.145625
Phosphate,W,Offshore,High,0.155
Phosphate,W,Offshore,Low,0.16499999999999998
Phosphate,W,Transition,High,0.101875
Phosphate,W,Transition,Low,0.315625
Salinity,BP,Ambient,High,34.60449458666667
Salinity,BP,Ambient,Low,34.5634705455
Salinity,BP,Diffuse,High,34.38729961975
Salinity,BP,Diffuse,Low,33.786166474285714
Salinity,BP,Transition,High,34.301612886
Salinity,BP,Transition,Low,32.542469233
Salinity,W,Ambient,High,34.59894311548387
Salinity,W,Ambient,Low,34.5943023209375
Salinity,W,Diffuse,High,34.514122668125
Salinity,W,Diffuse,Low,33.6105839503125
Salinity,W,Offshore,High,34.607445850000005
Salinity,W,Offshore,Low,34.602062085
Salinity,W,Transition,High,34.326336371875
Salinity,W,Transition,Low,31.031004808749998
Silicate,BP,Ambient,High,2.696111111111111
Silicate,BP,Ambient,Low,3.6795
Silicate,BP,Diffuse,High,7.9025
Silicate,BP,Diffuse,Low,22.312285714285714
Silicate,BP,Transition,High,9.9565
Silicate,BP,Transition,Low,52.125
Silicate,W,Ambient,High,1.8709677419354838
Silicate,W,Ambient,Low,1.9765625
Silicate,W,Diffuse,High,3.8009375
Silicate,W,Diffuse,Low,24.3596875
Silicate,W,Offshore,High,1.6775000000000002
Silicate,W,Offshore,Low,1.7999999999999998
Silicate,W,Transition,High,8.07375
Silicate,W,Transition,Low,83.05437500000001
TA,BP,Ambient,High,2247.526802388889
TA,BP,Ambient,Low,2257.0208202
TA,BP,Diffuse,High,2265.248544775
TA,BP,Diffuse,Low,2285.8179057142856
TA,BP,Transition,High,2257.4767453
TA,BP,Transition,Low,2309.39622095
TA,W,Ambient,High,2258.589665
TA,W,Ambient,Low,2259.2193720625
TA,W,Diffuse,High,2263.0772333125
TA,W,Diffuse,Low,2238.90560028125
TA,W,Offshore,High,2272.082355
TA,W,Offshore,Low,2284.407669
TA,W,Transition,High,2268.8226410624998
TA,W,Transition,Low,2213.0582848125
